product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Wooden Sign,decorative,Intermediate,"pine off-cuts, nails, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",585,241,YES,2-4 hours,2
Bookshelf,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, hammer, tape measure, sandpaper, clamps",2335,1014,YES,1-2 days,0
Dining Chair,seating,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","jigsaw, drill, tape measure, sandpaper, square",1940,1184,YES,1-2 days,0
Dining Chair,seating,Advanced,"pine boards, wood screws, sandpaper, wood stain","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",4218,1674,NO,1-2 days,2
Trellis,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","jigsaw, drill, tape measure, sandpaper, square",1127,472,YES,3-6 hours,0
Headboard,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",1230,481,YES,4-8 hours,3
Pet Ramp,outdoor,Beginner,"reclaimed timber, galvanised brackets, outdoor stain, nails","hand saw, hammer, tape measure, sandpaper, clamps",534,231,YES,3-6 hours,0
Arbor,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, router, orbital sander, drill, clamps, tape measure",3916,1155,YES,1-2 days,0
Bread Box,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, hammer, tape measure, sandpaper, clamps",766,280,YES,2-4 hours,1
Raised Garden Bed,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","hand saw, hammer, tape measure, sandpaper, clamps",1039,494,YES,1-2 days,0
Memory Box / Hope Chest,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",3059,1062,YES,1-2 days,0
Workbench,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","miter saw, drill, orbital sander, clamps, router, level",4340,1801,YES,2-3 days,1
Bread Box,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",550,204,YES,2-4 hours,2
Dining Chair,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, hammer, tape measure, sandpaper, clamps",2028,813,YES,1-2 days,0
Dollhouse,kids,Advanced,"birch plywood, non-toxic finish, sandpaper, wood screws","table saw, jointer, planer, router, drill press, orbital sander, clamps",2798,936,YES,3-5 days,0
Dog House,outdoor,Advanced,"meranti boards, exterior glue, galvanised nails, wood preservative","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",1670,886,YES,1-2 days,0
Wall-Mounted Shelves,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",658,297,YES,2-4 hours,0
End Table,tables,Beginner,"plywood sheets, hardwood edge banding, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",1011,406,YES,4-8 hours,0
Sideboard / Buffet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",9382,2985,YES,3-5 days,0
Knife Block,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",694,263,YES,2-3 hours,0
Bunk Bed,bedroom,Advanced,"oak lumber, dowels, wood glue, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",12652,4130,YES,3-5 days,0
Ladder Shelf,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",893,309,YES,4-8 hours,2
Footboard,bedroom,Beginner,"meranti boards, pocket screws, sandpaper, lacquer","jigsaw, drill, tape measure, sandpaper, square",1402,555,YES,4-8 hours,0
Coat Rack,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","hand saw, hammer, tape measure, sandpaper, clamps",658,291,NO,2-4 hours,3
Mirror Frame,decorative,Advanced,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",1076,411,NO,2-4 hours,1
Window Seat,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",7012,2308,YES,2-3 days,2
Jewelry Box,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",846,266,YES,4-8 hours,3
Armoire,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",10644,3170,YES,5-7 days,0
Chicken Coop,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, router, orbital sander, drill, clamps, tape measure",7139,2665,YES,2-3 days,0
Sideboard / Buffet,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",10064,3549,YES,3-5 days,3
Outdoor Lounge Chair,seating,Intermediate,"pine boards, pocket screws, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",3234,1342,YES,1-2 days,0
Butcher Block Countertop,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",12311,4115,YES,2-4 days,2
Outdoor Lounge Chair,seating,Beginner,"meranti boards, dowels, sandpaper, paint","hand saw, hammer, tape measure, sandpaper, clamps",2909,932,YES,1-2 days,0
Wooden Toys,kids,Intermediate,"hardwood scraps, child-safe varnish, sandpaper, dowels","circular saw, router, orbital sander, drill, clamps, tape measure",638,317,YES,2-4 hours,0
Writing Desk,tables,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",2013,896,YES,1-2 days,0
Shoe Rack,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",1527,527,YES,3-5 hours,3
Computer Desk,tables,Beginner,"meranti boards, pocket screws, wood filler, polyurethane","hand saw, chisel, mallet, sandpaper, tape measure",1502,857,YES,1-2 days,0
Knife Block,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",710,293,YES,2-3 hours,0
Dresser,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7020,2242,NO,3-5 days,2
Changing Table,bedroom,Intermediate,"oak lumber, dowels, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",4345,1153,NO,2-3 days,2
Utensil Holder,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","circular saw, hammer, tape measure, clamps, level",363,143,YES,1-2 hours,3
Patio Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",3355,1204,YES,1-2 days,0
Bench with Backrest,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",2402,1205,YES,1-2 days,2
End Table,tables,Beginner,"oak lumber, dowels, wood glue, varnish","jigsaw, drill, tape measure, sandpaper, square",1705,723,NO,4-8 hours,2
Pergola,outdoor,Advanced,"cedar boards, stainless screws, teak oil, sandpaper","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",13177,4821,NO,3-5 days,1
Desk,tables,Advanced,"pine boards, metal legs, wood glue, wood oil","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",2776,884,YES,1-2 days,0
Secretary Desk,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",3923,1802,YES,3-5 days,2
Corner Shelves,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","circular saw, hammer, tape measure, clamps, level",967,377,YES,3-5 hours,0
Dollhouse,kids,Advanced,"birch plywood, non-toxic finish, sandpaper, wood screws","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",3882,1749,YES,3-5 days,0
Tool Chest,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","miter saw, drill, orbital sander, clamps, router, level",3005,1145,YES,2-3 days,0
Writing Desk,tables,Beginner,"plywood sheets, hardwood edge banding, wood screws, lacquer","hand saw, chisel, mallet, sandpaper, tape measure",1823,828,YES,1-2 days,0
